income,existing_emis,credit_score,loan_amount,tenure_years,loan_type,employment_type,approved
63700.0,28100.0,817,160000.0,4,Personal,Salaried,0
107000.0,12800.0,730,350000.0,5,Personal,Salaried,1
42000.0,7000.0,777,180000.0,4,Personal,Self-Employed,1
163700.0,0.0,858,600000.0,11,Education,Self-Employed,1
144500.0,19800.0,618,390000.0,4,Education,Salaried,1
80600.0,10100.0,836,1980000.0,10,Business,Self-Employed,1
83300.0,0.0,732,5630000.0,29,Home,Salaried,0
163300.0,6500.0,441,5880000.0,11,Home,Self-Employed,0
132900.0,11100.0,729,2270000.0,7,Business,Self-Employed,1
199500.0,59100.0,806,540000.0,3,Business,Salaried,1
84300.0,23700.0,732,2830000.0,2,Business,Salaried,0
76000.0,7200.0,767,1090000.0,11,Education,Self-Employed,1
68100.0,24900.0,777,820000.0,7,Personal,Self-Employed,1
103900.0,22600.0,501,380000.0,2,Personal,Salaried,0
103400.0,47200.0,637,730000.0,5,Personal,Salaried,1
186600.0,0.0,765,1260000.0,6,Business,Unemployed,0
54200.0,19100.0,664,310000.0,1,Business,Salaried,1
25300.0,10200.0,638,1410000.0,5,Personal,Self-Employed,0
163800.0,9500.0,708,4000000.0,28,Home,Self-Employed,1
148900.0,0.0,656,820000.0,2,Personal,Salaried,1
176400.0,85500.0,324,1000000.0,11,Education,Salaried,0
171600.0,50000.0,704,120000.0,4,Personal,Unemployed,1
159400.0,40500.0,548,1710000.0,8,Business,Salaried,0
23000.0,0.0,686,120000.0,10,Education,Salaried,1
107500.0,0.0,613,6960000.0,17,Home,Salaried,0
19500.0,7700.0,687,2460000.0,26,Home,Salaried,0
36600.0,10000.0,533,570000.0,24,Home,Salaried,0
52100.0,29200.0,519,570000.0,2,Personal,Salaried,0
197600.0,900.0,374,1010000.0,5,Education,Self-Employed,0
41200.0,5200.0,759,1280000.0,5,Personal,Self-Employed,1
91600.0,200.0,748,420000.0,6,Personal,Salaried,1
33000.0,0.0,644,200000.0,6,Business,Salaried,1
19900.0,11100.0,309,3180000.0,26,Home,Salaried,0
117300.0,0.0,487,1390000.0,2,Personal,Salaried,0
16700.0,0.0,833,6520000.0,28,Home,Self-Employed,0
143800.0,3300.0,658,1380000.0,8,Education,Salaried,1
136100.0,22800.0,780,3130000.0,21,Home,Salaried,1
33700.0,0.0,851,430000.0,4,Education,Unemployed,1
71000.0,21800.0,736,420000.0,14,Education,Self-Employed,1
25200.0,5000.0,802,5900000.0,14,Home,Salaried,0
143100.0,16500.0,700,2270000.0,3,Business,Salaried,1
168700.0,21300.0,742,520000.0,10,Education,Salaried,1
161200.0,0.0,753,2630000.0,26,Home,Salaried,1
191000.0,35600.0,336,120000.0,10,Education,Salaried,0
178600.0,77000.0,704,250000.0,6,Personal,Salaried,0
53100.0,0.0,716,850000.0,7,Personal,Self-Employed,1
137500.0,0.0,843,7190000.0,24,Home,Self-Employed,1
115000.0,0.0,718,850000.0,4,Business,Self-Employed,1
110000.0,18100.0,680,440000.0,8,Education,Self-Employed,1
55500.0,23500.0,705,830000.0,4,Personal,Salaried,0
156700.0,0.0,813,1770000.0,8,Business,Salaried,0
85300.0,0.0,434,1120000.0,15,Education,Salaried,0
63300.0,14800.0,787,5930000.0,19,Home,Salaried,0
123300.0,6200.0,808,300000.0,3,Personal,Unemployed,0
75500.0,0.0,844,3660000.0,7,Home,Salaried,1
77800.0,36500.0,775,1430000.0,2,Personal,Unemployed,0
101000.0,57400.0,673,3270000.0,24,Home,Salaried,0
42800.0,14900.0,443,1360000.0,4,Personal,Self-Employed,0
141800.0,8700.0,802,5000000.0,8,Home,Salaried,1
92500.0,28100.0,802,1240000.0,1,Personal,Salaried,1
167800.0,0.0,770,1450000.0,7,Education,Self-Employed,1
